#E,eV        Sig,b        Interpolation
 3.80000000e+06 0.012030 Lin-Lin
 3.90000000e+06 0.013291 Lin-Lin
 4.40000000e+06 0.033916 Lin-Lin
 4.50000000e+06 0.042132 Lin-Lin
 4.90000000e+06 0.085631 Lin-Lin
 5.00000000e+06 0.101350 Lin-Lin
 5.10000000e+06 0.114980 Lin-Lin
 5.20000000e+06 0.141800 Lin-Lin
 5.29560000e+06 0.172210 Lin-Lin
 5.30000000e+06 0.177080 Lin-Lin
 5.35000000e+06 0.201980 Lin-Lin
 5.40000000e+06 0.216080 Lin-Lin
 5.43290000e+06 0.231350 Lin-Lin
 5.45000000e+06 0.240040 Lin-Lin
 5.60000000e+06 0.311480 Lin-Lin
 5.70000000e+06 0.346880 Lin-Lin
 5.80000000e+06 0.366390 Lin-Lin
 5.90000000e+06 0.371640 Lin-Lin
 6.00480000e+06 0.373750 Lin-Lin
 6.75000000e+06 0.378450 Lin-Lin
 7.25000000e+06 0.380480 Lin-Lin
 7.50000000e+06 0.380500 Lin-Lin
 8.00000000e+06 0.379000 Lin-Lin
 9.25000000e+06 0.368320 Lin-Lin
 1.05000000e+07 0.355050 Lin-Lin
 1.20000000e+07 0.336150 Lin-Lin
 1.25000000e+07 0.328960 Lin-Lin
 1.30000000e+07 0.320800 Lin-Lin
 1.40110000e+07 0.302150 Lin-Lin
 1.50000000e+07 0.285020 Lin-Lin
 1.60000000e+07 0.264470 Lin-Lin
 1.70000000e+07 0.243240 Lin-Lin
 1.75000000e+07 0.233640 Lin-Lin
 1.80140000e+07 0.224910 Lin-Lin
 1.91580000e+07 0.207290 Lin-Lin
 2.00000000e+07 0.195150 Lin-Lin